название,район / город  областного значения,основание / первое упоминание,статус города,прежние названия
Жигулёвск,Жигулёвск,1949,1952,Пусто
Кинель,Кинель,1837,1944,Пусто
Нефтегорск,Нефтегорский район,1960,1989,Пусто
Новокуйбышевск,Новокуйбышевск,1946,1952,Липяги
Октябрьск,Октябрьск,1684,1956,Батраки
Отрадный,Отрадный,1946,1956,Пусто
Похвистнево,Похвистнево,1888,1947,Пусто
Самара,Самара,1586,1688,с 1935 по 1991 — Куйбышев
Сызрань,Сызрань,1683,1796,Пусто
Тольятти,Тольятти,1737,1780,до 1964 — Ставрополь
Чапаевск,Чапаевск,1909,1927,"до 1918 — Иващенково
до 1929 — Троцк"
