Название,Район[5] / город (вне района)[6],Основание / первое упоминание,Статус города,Прежние названия
Велиж,Велижский район,1536,1776,Пусто
Вязьма,Вяземский район,1239,1776,Пусто
Гагарин,Гагаринский район,1705,1776,Гжатск (до 1968)
Демидов,Демидовский район,1499,1776,Поречье (до 1918)
Десногорск,город Десногорск,1974,1989,Пусто
Дорогобуж,Дорогобужский район,XIII век,XIII век,Пусто
Духовщина,Духовщинский район,1675,1777,Пусто
Ельня,Ельнинский район,1150,1776,Пусто
Починок,Починковский район,1811,1926,Пусто
Рославль,Рославльский район,1137,1755,Ростиславль
Рудня,Руднянский район,1363,1926,Пусто
Сафоново,Сафоновский район,1859,1952,Пусто
Смоленск,город Смоленск,863,863,Пусто
Сычёвка,Сычёвский район,1488,1776,Пусто
Ярцево,Ярцевский район,1610,1926,Пусто
