Название,район / город краевого значения[7],муниципальный / городской округ[8],"Основание / первое упоминание,год","Статусгорода,год"
Благодарный,Благодарненский район,Благодарненский ГО,1782,1971
Будённовск,Будённовский район,Будённовский МО,1799,1799
Георгиевск,Георгиевский район,Георгиевский ГО,1777,1786
Ессентуки,Ессентуки,"Ессентуки, ГО",1825,1917
Железноводск,Железноводск,"Железноводск, ГО",1810,1917
Зеленокумск,Советский район,Советский ГО,1781,1965
Изобильный,Изобильненский район,Изобильненский ГО,1895,1965
Ипатово,Ипатовский район,Ипатовский ГО,1860,1979
Кисловодск,Кисловодск,"Кисловодск, ГО",1803,1903
Лермонтов,Лермонтов,"Лермонтов, ГО",1953,1956
Минеральные Воды,Минераловодский район,Минераловодский ГО,1878,1922
Михайловск,Шпаковский район,Шпаковский МО,1784,1999
Невинномысск,Невинномысск,"Невинномысск, ГО",1825,1939
Нефтекумск,Нефтекумский район,Нефтекумский ГО,1958,1968
Новоалександровск,Новоалександровский район,Новоалександровский ГО,1804,1971
Новопавловск,Кировский район,Кировский ГО,1777,1981
Пятигорск,Пятигорск,"Пятигорск, ГО",1780,1830
Светлоград,Петровский район,Петровский ГО,1786,1965
Ставрополь,Ставрополь,"Ставрополь, ГО",1777,1785
