название,административно-территориальная единица[7],муниципальное образование[8],основание города,статус города
Екатеринбург,город Екатеринбург,мун. обр. город Екатеринбург (ГО),1723,1781
Алапаевск,город Алапаевск,мун. обр. город Алапаевск (ГО),1639,1781
Арамиль,Сысертский район,Арамильский ГО,1675,1966
Артёмовский,Артёмовский район,Артёмовский ГО,1665,1938
Асбест,город Асбест,Асбестовский ГО,1889,1933
Берёзовский,город Берёзовский,Берёзовский ГО,1748,1938
Богданович,Богдановичский район,ГО Богданович,1885,1947
Верхний Тагил,город Кировград,ГО Верхний Тагил,1716,1966
Верхняя Пышма,город Верхняя Пышма,ГО Верхняя Пышма,1854,1946
Верхняя Салда,Верхнесалдинский район,Верхнесалдинский ГО,1778,1938
Верхняя Тура,город Кушва,ГО город Верхняя Тура,1737,1941
Верхотурье,Верхотурский район,ГО Верхотурский,1597,1597
Волчанск,город Карпинск,Волчанский ГО,1900,1956
Дегтярск,город Ревда,ГО Дегтярск,1914,1954
Заречный,город Заречный,ГО Заречный,1955,1992
Ивдель,город Ивдель,Ивдельский ГО,1831,1943
Ирбит,город Ирбит,ГО город Ирбит,1631,1775
Каменск-Уральский,город Каменск-Уральский,Каменск-Уральский ГО,1701,1935
Камышлов,город Камышлов,Камышловский ГО,1668,1781
Карпинск,город Карпинск,ГО Карпинск,1759,1941
Качканар,город Качканар,Качканарский ГО,1957,1968
Кировград,город Кировград,Кировградский ГО,1661,1932
Краснотурьинск,город Краснотурьинск,ГО Краснотурьинск,1758,1944
Красноуральск,город Красноуральск,ГО Красноуральск,1925,1932
Красноуфимск,город Красноуфимск,ГО Красноуфимск,1736,1781
Кушва,город Кушва,Кушвинский ГО,1735,1925
Лесной,ЗАТО город Лесной,ГО город Лесной,1947,1954
Михайловск,Нижнесергинский район,Нижнесергинский МР[5],1805,1961
Невьянск,Невьянский район,Невьянский ГО,1701,1919
Нижние Серги,Нижнесергинский район,Нижнесергинский МР[6],1743,1943
Нижний Тагил,город Нижний Тагил,ГО город Нижний Тагил,1722,1919
Нижняя Салда,город Нижняя Салда,ГО Нижняя Салда,1760,1938
Нижняя Тура,город Нижняя Тура,Нижнетуринский ГО,1754,1949
Новая Ляля,Новолялинский район,Новолялинский ГО,1903,1938
Новоуральск,ЗАТО город Новоуральск,Новоуральский ГО,1941,1954
Первоуральск,город Первоуральск,ГО Первоуральск,1732,1933
Полевской,город Полевской,Полевской ГО,1718,1942
Ревда,город Ревда,ГО Ревда,1734,1935
Реж,Режевский район,Режевской ГО,1773,1943
Североуральск,город Североуральск,Североуральский ГО,1758,1944
Серов,город Серов,Серовский ГО,1893,1926
Среднеуральск,город Верхняя Пышма,ГО Среднеуральск,1931,1966
Сухой Лог,Сухоложский район,ГО Сухой Лог,1710,1943
Сысерть,Сысертский район,Сысертский ГО,1732,1946
Тавда,Тавдинский район,Тавдинский ГО,1910,1937
Талица,Талицкий район,Талицкий ГО,1732,1942
Туринск,Туринский район,Туринский ГО,1600,1600
